Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
886365,NO,LOCAL,HUESCA,AYUNTAMIENTO DE HUESCA,10/02/2026,"ASIGNACIONES PARA EL FUNCIONAMIENTO DE LOS GRUPOS POLÍTICOS DEL AYUNTAMIENTO DE HUESCA REGULARIZACIÓN AÑOS 2023, 2024 Y 2025.",
886364,NO,LOCAL,DIPUTACIÓN PROV. DE SORIA,DIPUTACIÓN PROVINCIAL DE SORIA,10/02/2026,CONVENIO DE SUBVENCIÓN ENTRE LA DIPUTACIÓN DE SORIA Y LA FEDERACIÓN TRIATLÓN CyL 2026,
886363,NO,LOCAL,"ELIANA, L'","AYUNTAMIENTO DE ELIANA, L'",10/02/2026,BASES REGULADORAS Y CONVOCATORIA DE LA III EDICIÓN DEL CONCURSO “MURALES POR LA IGUALDAD” DEL AYUNTAMIENTO DE L’ELIANA EJERCICIO 2026,BASES REGULADORES I CONVOCATÒRIA DE LA III EDICIÓ DEL CONCURS “MURALS PER LA IGUALTAT” DE L'AJUNTAMENT DE L’ELIANA EXERCICI 2026
886362,NO,LOCAL,SANT PERE DE RIBES,AYUNTAMIENTO DE SANT PERE DE RIBES,10/02/2026,Convenio que regula la subvención nominativa 2026 entre el Ayuntamiento de Sant Pere de ribes y la escuela El  Pi  para el mantenimiento,Conveni que regula la subvenció nominativa 2026 entre l'Ajuntament de Sant Pere de Ribes i l'escola El Pi  per al manteniment
886361,NO,LOCAL,AGULLENT,AYUNTAMIENTO DE AGULLENT,10/02/2026,BASES AYUDAS PARA NACIMIENTOS Y ADOPCIONES - "CHEQUE BEBÉ 2026" Exp. 48/2026,BASES AJUDES PER A NAIXEMENTS I ADOPCIONS - "XEC BEBÉ 2026" Exp. 48/2026
886360,NO,LOCAL,COMARCA DE HOYA DE HUESCA/PLANA DE UESCA,COMARCA DE HOYA DE HUESCA/PLANA DE UESCA,10/02/2026,Convenio interadministrativo de cooperación en materia de deporte entre la Comarca de Hoya de Huesca/Plana de Uesca y el Ayuntamiento de Nueno durante el año 2025,
886359,NO,LOCAL,LLÍRIA,AYUNTAMIENTO DE LLÍRIA,10/02/2026,Bases XI Premio Grattia Maximilla,
886358,NO,LOCAL,COMARCA DE HOYA DE HUESCA/PLANA DE UESCA,COMARCA DE HOYA DE HUESCA/PLANA DE UESCA,10/02/2026,Convenio interadministrativo de cooperación en materia de deporte entre la Comarca de Hoya de Huesca/Plana de Uesca y el Ayuntamiento de Novales durante el año 2025,
886357,NO,LOCAL,HONDARRIBIA,AYUNTAMIENTO DE HONDARRIBIA,10/02/2026,SUBVENCIÓN NOMINATIVA ASOCIACIÓN DE VECINOS ARKOLL - FIESTAS DEL BARRIO - 2025,ARKOLLAKO BIZILAGUNEN ELKARTEA - ARKOLLA AUZOKO JAIAK - DIRULAGUNTZA IZENDUNA 2025
886356,NO,LOCAL,COMARCA DE HOYA DE HUESCA/PLANA DE UESCA,COMARCA DE HOYA DE HUESCA/PLANA DE UESCA,10/02/2026,Convenio interadministrativo de cooperación en materia de deporte entre la Comarca de Hoya de Huesca/Plana de Uesca y el Ayuntamiento de Monflorite durante el año 2025,
886355,NO,LOCAL,SORIA,AYUNTAMIENTO DE SORIA,10/02/2026,CONVENIO DE COLABORACIÓN ENTRE EL AYUNTAMIENTO DE SORIA Y CD CALASANZ DE SORIA PARA LA PROMOCION FUTBOL BASE 2025,
886353,NO,LOCAL,ONDA,AYUNTAMIENTO DE ONDA,10/02/2026,"Bases específicas reguladoras de las ayudas económicas del Ayuntamiento de Onda para prótesis capilares en pacientes oncológicos, convocatoria 2026.",
886351,NO,LOCAL,HONDARRIBIA,AYUNTAMIENTO DE HONDARRIBIA,10/02/2026,SUBVENCIÓN NOMINATIVA ASOCIACIÓN DE VECINOS AMUTE KOSTA INVERSIÓN Y MANTENIMIENTO LOCAL MUNICIPAL 2025,DIRULAGUNTZA IZENDUNA AMUTE KOSTA AUZO EGINTZA MANTENU ETA INBERTSIOAK UDAL LOKALAN 2025
886350,NO,LOCAL,TALAVERA DE LA REINA,AYUNTAMIENTO DE TALAVERA DE LA REINA,10/02/2026,Acuerdo de la Junta de Gobierno por el que se aprueban las bases reguladoras y la convocatoria del Concurso de Carteles de Mondas 2026.,
886349,NO,LOCAL,TERRASSA,AJUNTAMENT DE TERRASSA,10/02/2026,"Decreto 3732/2026, del 6 de febrero, de la concejala de Capacidades Diversas y Accesibilidad, por la que se convocan subvenciones para la mejora de la accesibilidad universal a locales estables de entidades sin animo de lucro para el año 2026.","Decret número 3732/2026, del 6 de febrer, de la regidora de Capacitats Diverses i Accessibilitat, pel que s’obre la convocatòria per a la concessió de subvencions per la millora de l’accessibilitat universal a locals estables d’entitats sense afany de luc"
886348,NO,LOCAL,SORIA,AYUNTAMIENTO DE SORIA,10/02/2026,CONVENIO COLABORACION ENTRE EL AYUNTAMIENTO DE SORIA Y EL CLUB DEPORTIVO SAN JOSE PARA EL MANTENIMIENTO CAMPO FÚTBOL 2025,
886347,NO,AUTONOMICA,COMUNIDAD DE MADRID,"CONSEJERÍA DE CULTURA, TURISMO Y DEPORTE",10/02/2026,AYUDAS FONDOS BIBLIOGRÁFICOS 2026. LÍNEA C,
886346,NO,LOCAL,ONDA,AYUNTAMIENTO DE ONDA,10/02/2026,"BASES ESPECÍFICAS REGULADORAS DE LAS AYUDAS ECONÓMICAS MUNICIPALES PARA FAMILIAS MONOPARENTALES DEL AYUNTAMIENTO DE ONDA, EJERCICIO 2026",
886345,NO,AUTONOMICA,COMUNIDAD DE MADRID,"CONSEJERÍA DE CULTURA, TURISMO Y DEPORTE",10/02/2026,AYUDAS FONDOS BIBLIOGRÁFICOS 2026. LÍNEA B,
886343,NO,AUTONOMICA,COMUNIDAD DE MADRID,"CONSEJERÍA DE CULTURA, TURISMO Y DEPORTE",10/02/2026,AYUDAS FONDOS BIBLIOGRÁFICOS 2026. LÍNEA A,
